测试编号,编号,关键结论,段落编号,英文原文引句,判断,材料边界说明
FACTS_006,G01,"第一条规则是“A customer in need is a customer indeed.”",P01,"A CUSTOMER IN NEED IS A CUSTOMER INDEED",已由材料支持,无
FACTS_006,G02,"第二条规则是“Hire people with good customer service skills.”",P01,"HIRE PEOPLE WITH GOOD CUSTOMER SERVICE SKILLS",已由材料支持,无
FACTS_006,G03,"第三条规则是“Train your employees on store policies.”",P01,"TRAIN YOUR EMPLOYEES ON STORE POLICIES",已由材料支持,无
FACTS_006,G04,"第四条规则是“Cross train your employees.”",P01,"CROSS TRAIN YOUR EMPLOYEES",已由材料支持,无
FACTS_006,G05,"第五条规则是“Train your employees how to build rapport with the customer.”",P01,"TRAIN YOUR EMPLOYEES HOW TO BUILD RAPPORT WITH THE CUSTOMER",已由材料支持,无
FACTS_006,G06,"第六条规则是“Know your customers' names and use them.”",P01,"KNOW YOUR CUSTOMERS NAMES AND USE THEM",已由材料支持,无
FACTS_006,G07,"第七条规则是“Train your employees how to ask open ended questions.”",P02,"TRAIN YOUR EMPLOYEES HOW TO ASK OPEN ENDED QUESTIONS",已由材料支持,无
FACTS_006,G08,"第八条规则是“Instill a sense of urgency in helping customers.”",P02,"INSTILL A SENSE OF URGENCY IN HELPING CUSTOMERS",已由材料支持,无
FACTS_006,G09,"第九条规则是“Train your employees how to handle angry customers.”",P02,"TRAIN YOUR EMPLOYEES HOW TO HANDLE ANGRY CUSTOMERS",已由材料支持,无
FACTS_006,G10,"第十条规则是“Don't let an angry customer leave your store.”",P03,"DON'T LET AN ANGRY CUSTOMER LEAVE YOUR STORE",已由材料支持,无
