测试编号,编号,原子事实或待判断文本,是否应核验,判断,证据标题,证据链接,最小必要修正,不确定性说明
FCB_011,C01,When two supermassive black holes merge the result is a single larger black hole.,是,正确,What Happens When Two Black Holes Merge — Science Insights,https://scienceinsights.org/what-happens-when-two-black-holes-merge,无需修改,无
FCB_011,C02,"The process of merging black holes is called a ""black hole merger.""",是,正确,"Morphological evolution of supermassive black hole merger hosts — MNRAS (Oxford Academic)",https://academic.oup.com/mnras/article/503/3/3629/6179860,无需修改,无
FCB_011,C03,During the merger the black holes will release a tremendous amount of energy in the form of gravitational waves.,是,正确,What Happens When Black Holes Collide — Science Insights,https://scienceinsights.org/what-happens-when-black-holes-collide,无需修改,"""tremendous""为主观程度词，但物理事实准确"
FCB_011,C04,"These waves are ripples in the fabric of space-time that are created by the acceleration of massive objects.",是,正确,NASA LISA mission overview,https://www.nasa.gov/lisa,无需修改,无
FCB_011,C05,"The waves produced by the merging of two supermassive black holes can be detected using highly sensitive instruments called gravitational wave detectors.",是,部分正确,"MNRAS: current ground-based interferometers not sensitive to SMBH GWs; NANOGrav 15yr Release; NASA LISA",https://academic.oup.com/mnras/article/503/3/3629/6179860,"修改为：""The gravitational waves from supermassive black hole mergers have extremely low frequencies (nanohertz to millihertz), which cannot be detected by current ground-based interferometers like LIGO or Virgo. Pulsar timing arrays have detected a stochastic gravitational wave background consistent with a population of supermassive black hole binaries, but individual merger events have not yet been resolved. The planned space-based LISA mission (mid-2030s) is designed to detect individual supermassive black hole mergers.""","原文使用泛称""gravitational wave detectors""容易让读者误解为LIGO等现有探测器已可探测。PTA是否算作""引力波探测器""存在术语模糊性"
FCB_011,C06,"The merging of two supermassive black holes can also produce a bright burst of light called a quasar.",是,错误,"Astronomy.com: errors in ChatGPT's astronomy answer; Caltech ZTF flare from BH merger in AGN disk (not a quasar); ApJ: ""Witnessing the Birth of a Quasar""",https://astronomy.com/news/2022/12/we-asked-chatgpt-your-questions-about-astronomy-it-didnt-go-so-well,"替换为：""When two galaxies merge, the process can drive gas toward the central supermassive black holes, potentially triggering quasar activity. In gas-rich environments, a supermassive black hole merger may also produce an electromagnetic counterpart such as a flare, though this is not the same as a quasar.""",证据充分
FCB_011,C07,Quasars are some of the brightest objects in the universe.,是,正确,天文学标准知识,无（标准天文常识）,无需修改,无
FCB_011,C08,Quasars are thought to be powered by the accretion of matter onto a supermassive black hole.,是,正确,天文学标准知识,无（标准天文常识）,无需修改,无
FCB_011,C09,"It's worth noting that the merger of two supermassive black holes is a rare event.",是,正确,NANOGrav 15yr Release: hundreds of thousands to millions of SMBH binaries in universe,https://nanograv.org/news/15yrRelease,无需修改,"""rare""为相对表述，在宇宙尺度上并非极端罕见"
FCB_011,C10,"It's likely to take place over a timescale of millions or billions of years.",是,正确,"A&A: coalescence time of SMBHs; NANOGrav: ""merging within just a few million years""",https://doi.org/10.1051/0004-6361/201730489,无需修改,整体过程时标准确；最终并合阶段本身相对较快
FCB_011,C11,"The detection of gravitational waves from such a merger would be a major scientific discovery.",是,正确,NANOGrav awarded 2025 Bruno Rossi Prize for GW background detection,https://www.nanograv.org/news/nanograv-awarded-prestigious-bruno-rossi-prize,无需修改,PTA已探测到随机引力波背景（2023年），该发现本身即属重大突破
FCB_011,C12,Such detection could provide insight into the nature of black holes and the evolution of galaxies.,是,正确,NASA: LISA will observe SMBH mergers across cosmic history,https://science.nasa.gov/gravitational-waves/nasa-collaborating-on-european-led-gravitational-wave-observatory-in-space,无需修改,无
