配置,抽检序号,事实类别,对应事实编号,审计结论,得分,理由
HY3基线,1,发布时间,F01,正确,1,GLM框架与GLM-10B时间线有官方来源
HY3基线,2,发布时间,F06,正确,1,GLM-4发布日期与公开报道一致
HY3基线,3,参数,F22,正确,1,GLM-4.5参数有官方文档支持
HY3基线,4,参数,F25,部分支持,0.5,将GLM-5.2参数写为未披露较谨慎，但未利用可复核模型卡补强
HY3基线,5,上下文,F29,正确,1,GLM-4.6 200K有官方博客支持
HY3基线,6,上下文,F32,正确,1,GLM-5.2 1M上下文有官方发布口径
HY3基线,7,开源,F40,部分支持,0.5,多个版本被合并为统一MIT结论，许可证应逐版复核
HY3基线,8,基准,F44,正确,1,明确记录中文与英文口径差异
HY3基线,9,基准,F51,错误或无法支持,0,榜单名次使用媒体转述且未标明复核时点
HY3基线,10,生态,F66,正确,1,公司财务事实标注媒体与年报线索
HY3基线,11,生态,F68,部分支持,0.5,涨价与调用量关系为媒体叙述，因果表述偏强
HY3基线,12,能力升级,F62,正确,1,能力表述与官方研究文一致
HY3基线,13,发布时间,F14,正确,1,主动处理GLM-4.7日期冲突
HY3基线,14,参数,F21,正确,1,GLM-4参数未披露的处理正确
HY3基线,15,上下文,F33,正确,1,模型卡可直接支持1M版本
HY3基线,16,开源,F39,部分支持,0.5,闭源判断合理但来源不是直接产品许可页
HY3基线,17,基准,F47,正确,1,指标与官方博客对应
HY3基线,18,产品,F54,正确,1,官方文档可支持平台与API信息
HY3基线,19,价格,F55,正确,1,引用官方定价页
HY3基线,20,能力升级,F60,正确,1,官方文档支持混合推理控制
HY3基线,21,发布时间,F03,正确,1,时间与技术报告一致
HY3基线,22,参数,F23,正确,1,GLM-5参数有官方研究文支持
HY3基线,23,基准,F52,正确,1,引用官方研究文并注明口径
HY3基线,24,生态,F67,正确,1,实体清单事件可被公开资料支持
HY3基线,25,模态,F36,错误或无法支持,0,功能集合主要依赖媒体转述且缺少直接技术说明
HY3基线,26,发布时间,F10,正确,1,模型发布信息可复核
HY3基线,27,开源,F41,正确,1,许可结论与公开仓库一致
HY3基线,28,基准,F48,正确,1,官方博客直接支持
HY3基线,29,价格,F58,部分支持,0.5,跨站价格与币种口径不宜直接并列
HY3基线,30,能力升级,F63,正确,1,研究文直接支持关键架构说明
Auto模型,1,发布时间,F01,正确,1,GLM框架与GLM-10B时间线有官方来源
Auto模型,2,发布时间,F06,正确,1,GLM-4发布日期与公开报道一致
Auto模型,3,参数,F22,正确,1,GLM-4.5参数有官方文档支持
Auto模型,4,参数,F25,部分支持,0.5,将GLM-5.2参数写为未披露较谨慎，但未利用可复核模型卡补强
Auto模型,5,上下文,F29,正确,1,GLM-4.6 200K有官方博客支持
Auto模型,6,上下文,F32,正确,1,GLM-5.2 1M上下文有官方发布口径
Auto模型,7,开源,F40,部分支持,0.5,多个版本被合并为统一MIT结论，许可证应逐版复核
Auto模型,8,基准,F44,正确,1,明确记录中文与英文口径差异
Auto模型,9,基准,F51,正确,1,榜单结论注明媒体口径和时间风险
Auto模型,10,生态,F66,正确,1,公司财务事实标注媒体与年报线索
Auto模型,11,生态,F68,部分支持,0.5,涨价与调用量关系为媒体叙述，因果表述偏强
Auto模型,12,能力升级,F62,正确,1,能力表述与官方研究文一致
Auto模型,13,发布时间,F14,正确,1,主动处理GLM-4.7日期冲突
Auto模型,14,参数,F21,正确,1,GLM-4参数未披露的处理正确
Auto模型,15,上下文,F33,正确,1,模型卡可直接支持1M版本
Auto模型,16,开源,F39,正确,1,闭源判断与官方产品开放方式相符
Auto模型,17,基准,F47,正确,1,指标与官方博客对应
Auto模型,18,产品,F54,正确,1,官方文档可支持平台与API信息
Auto模型,19,价格,F55,正确,1,引用官方定价页
Auto模型,20,能力升级,F60,正确,1,官方文档支持混合推理控制
Auto模型,21,发布时间,F03,正确,1,时间与技术报告一致
Auto模型,22,参数,F23,正确,1,GLM-5参数有官方研究文支持
Auto模型,23,基准,F52,正确,1,引用官方研究文并注明口径
Auto模型,24,生态,F67,正确,1,实体清单事件可被公开资料支持
Auto模型,25,模态,F36,正确,1,功能集合与公开产品说明一致
Auto模型,26,发布时间,F10,正确,1,模型发布信息可复核
Auto模型,27,开源,F41,正确,1,许可结论与公开仓库一致
Auto模型,28,基准,F48,正确,1,官方博客直接支持
Auto模型,29,价格,F58,部分支持,0.5,跨站价格与币种口径不宜直接并列
Auto模型,30,能力升级,F63,正确,1,研究文直接支持关键架构说明
DeepSeek V4 Flash,1,发布时间,F02,正确,1,GLM框架时间线有官方来源
DeepSeek V4 Flash,2,发布时间,F19,正确,1,GLM-4发布日期有公开报道支持
DeepSeek V4 Flash,3,参数,F42,正确,1,GLM-4.5参数有论文和官方发布支持
DeepSeek V4 Flash,4,参数,F65,部分支持,0.5,744B/40B明确标为第三方口径而非官方披露
DeepSeek V4 Flash,5,上下文,F52,正确,1,GLM-4.6 200K有官方文档支持
DeepSeek V4 Flash,6,上下文,F72,正确,1,GLM-5.2 1M上下文有官方发布口径
DeepSeek V4 Flash,7,开源,F78,正确,1,有公开仓库与许可线索
DeepSeek V4 Flash,8,基准,F43,正确,1,GLM-4.5论文可支持相关指标
DeepSeek V4 Flash,9,基准,F53,部分支持,0.5,LMArena名次是时点数据且引用百科汇总
DeepSeek V4 Flash,10,生态,F80,部分支持,0.5,上市与财务描述未给出公司公告或年报的直接链接
DeepSeek V4 Flash,11,生态,F81,错误或无法支持,0,30万企业客户和日400亿token为强断言，未给出可复核一手证据
DeepSeek V4 Flash,12,能力升级,F77,正确,1,架构与长程任务表述可回溯官方研究文
DeepSeek V4 Flash,13,发布时间,F58,正确,1,GLM-4.7日期已列出冲突并解释
DeepSeek V4 Flash,14,参数,F73,部分支持,0.5,753B/40B为第三方估算，不应作为确定参数
