平台,测试编号,评分维度,满分,得分,扣分,扣分原因,使用文件,复核备注
ChatGPT Work,OEDIT_001,编辑正确性,20.00,19.30,0.70,答案区与参考答案一致率 99.67%，参考答案公式一致率 97.77%；关键硬编码和净收入公式修复有效。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
ChatGPT Work,OEDIT_001,任务完整性,12.50,12.20,0.30,覆盖主要调试要求，变更说明列出核心修复项。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
ChatGPT Work,OEDIT_001,文件可用性与格式保真,7.50,7.50,0.00,文件可打开，工作表保留率 100%。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
ChatGPT Work,OEDIT_001,可复核性,5.00,4.60,0.40,说明清楚但较概括，少于 WorkBuddy 的逐单元格说明。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
ChatGPT Work,OEDIT_002,编辑正确性,20.00,5.00,15.00,工作簿可打开且 Sheet3 有部分合并数据，但 xlsx 内没有真实图表对象；A2:G31 有 150 个无效 '=' 公式。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
ChatGPT Work,OEDIT_002,任务完整性,12.50,3.00,9.50,核心要求是创建多系列折线图，但未检测到 chart XML，任务主体未完成。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
ChatGPT Work,OEDIT_002,文件可用性与格式保真,7.50,5.00,2.50,文件可打开、保留工作表，但图表缺失且数据区公式异常。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
ChatGPT Work,OEDIT_002,可复核性,5.00,2.00,3.00,变更说明声称已创建图表，与文件实际结构不一致，降低可信度。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
WorkBuddy,OEDIT_001,编辑正确性,20.00,18.90,1.10,答案区与参考答案一致率 99.53%，参考答案公式一致率 97.08%；修复面较广，但与 golden 略低于 ChatGPT。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
WorkBuddy,OEDIT_001,任务完整性,12.50,12.30,0.20,覆盖公式、硬编码、跨表引用等多类问题。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
WorkBuddy,OEDIT_001,文件可用性与格式保真,7.50,7.50,0.00,文件可打开，工作表保留率 100%。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
WorkBuddy,OEDIT_001,可复核性,5.00,5.00,0.00,变更说明最详细，按工作表和单元格列出修复。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
WorkBuddy,OEDIT_002,编辑正确性,20.00,18.50,1.50,检测到 1 个折线图、4 个系列、缺失值 gap；保留公式数据源，符合任务意图。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
WorkBuddy,OEDIT_002,任务完整性,12.50,12.20,0.30,覆盖四系列、日期范围、缺失值、Y 轴、标签可读性等要求。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
WorkBuddy,OEDIT_002,文件可用性与格式保真,7.50,7.20,0.30,文件可打开，工作表保留率 100%；openpyxl 读取图表时有警告，但底层 chart XML 完整。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
WorkBuddy,OEDIT_002,可复核性,5.00,5.00,0.00,变更说明非常详细，列出系列引用、轴设置和复核方法。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
TRAE Work,OEDIT_001,编辑正确性,20.00,0.00,20.00,修订后工作簿被 openpyxl 判定为 XML 解析错误，无法进入公式和值复核。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
TRAE Work,OEDIT_001,任务完整性,12.50,0.00,12.50,按评分规则，文件无法可靠打开时该题质量分为 0。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
TRAE Work,OEDIT_001,文件可用性与格式保真,7.50,0.00,7.50,自动化复核无法打开：unbound prefix。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
TRAE Work,OEDIT_001,可复核性,5.00,0.00,5.00,虽然有变更说明，但无法验证修订后文件。,OEDIT_001_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
TRAE Work,OEDIT_002,编辑正确性,20.00,18.30,1.70,检测到 1 个折线图、4 个系列、缺失值 gap；数据值与日期范围正确，但采用静态合并数据，维护性弱于公式方案。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
TRAE Work,OEDIT_002,任务完整性,12.50,12.00,0.50,覆盖四系列、日期范围、缺失值和 Y 轴要求。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
TRAE Work,OEDIT_002,文件可用性与格式保真,7.50,7.20,0.30,文件可打开，工作表保留率 100%；图表结构可检测。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
TRAE Work,OEDIT_002,可复核性,5.00,4.30,0.70,说明清楚但不如 WorkBuddy 细，未披露静态化数据对后续维护的影响。,OEDIT_002_修订后.xlsx；变更说明.md；输入文件；参考答案文件；测试三运行记录.csv,
