测试编号,基准测试,分层,源文件,源文件行号,任务摘要,备注
FCB_001,Factcheck-GPT,句子可核验性,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/subtask1_sentence_checkworthiness.jsonl,180,任务包中提供单句待判断文本,正式样本；按随机种子20260804分层平衡抽样
FCB_002,Factcheck-GPT,句子可核验性,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/subtask1_sentence_checkworthiness.jsonl,181,任务包中提供单句待判断文本,正式样本；按随机种子20260804分层平衡抽样
FCB_003,Factcheck-GPT,句子可核验性,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/subtask1_sentence_checkworthiness.jsonl,10,任务包中提供单句待判断文本,正式样本；按随机种子20260804分层平衡抽样
FCB_004,Factcheck-GPT,句子可核验性,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/subtask1_sentence_checkworthiness.jsonl,98,任务包中提供单句待判断文本,正式样本；按随机种子20260804分层平衡抽样
FCB_005,Factcheck-GPT,声明事实性,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/subtask4_claim_factuality.jsonl,440,任务包中提供单句待判断文本,正式样本；按随机种子20260804分层平衡抽样
FCB_006,Factcheck-GPT,声明事实性,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/subtask4_claim_factuality.jsonl,443,任务包中提供单句待判断文本,正式样本；按随机种子20260804分层平衡抽样
FCB_007,Factcheck-GPT,声明事实性,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/subtask4_claim_factuality.jsonl,180,任务包中提供单句待判断文本,正式样本；按随机种子20260804分层平衡抽样
FCB_008,Factcheck-GPT,声明事实性,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/subtask4_claim_factuality.jsonl,441,任务包中提供单句待判断文本,正式样本；按随机种子20260804分层平衡抽样
FCB_009,Factcheck-GPT,文档级回答核验,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/factcheck-GPT-benchmark.jsonl,50,任务包中提供用户问题与待核验回答,正式样本；按随机种子20260804分层平衡抽样
FCB_010,Factcheck-GPT,文档级回答核验,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/factcheck-GPT-benchmark.jsonl,52,任务包中提供用户问题与待核验回答,正式样本；按随机种子20260804分层平衡抽样
FCB_011,Factcheck-GPT,文档级回答核验,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/factcheck-GPT-benchmark.jsonl,8,任务包中提供用户问题与待核验回答,正式样本；按随机种子20260804分层平衡抽样
FCB_012,Factcheck-GPT,文档级回答核验,02_事实核验/Factcheck基准数据/Factcheck-GPT-main/factcheck-GPT-benchmark.jsonl,85,任务包中提供用户问题与待核验回答,正式样本；按随机种子20260804分层平衡抽样
