测试编号,编号,原子事实或待判断文本,是否应核验,判断,证据标题,证据链接,最小必要修正,不确定性说明
FCB_011,C01,"When two supermassive black holes merge, the result is a single, larger black hole.",是,正确,"LIGO - What are Gravitational Waves?; ESA - Which cosmic objects will LISA study?","https://www.ligo.caltech.edu/page/what-are-gw ; https://www.esa.int/Science_Exploration/Space_Science/LISA/Which_cosmic_objects_will_LISA_study",无需修改,"LIGO 页面示例为恒星质量黑洞；超大质量黑洞部分由 ESA LISA 资料支持。"
FCB_011,C02,"The process of merging black holes is called a “black hole merger.”",是,正确,"LIGO - What are Gravitational Waves?; ESA - LISA factsheet","https://www.ligo.caltech.edu/page/what-are-gw ; https://www.esa.int/Science_Exploration/Space_Science/LISA/LISA_factsheet",无需修改,"这是术语性表述，证据充分。"
FCB_011,C03,"During the merger, the black holes release a tremendous amount of energy in the form of gravitational waves.",是,正确,"LIGO - What are Gravitational Waves?; ESA - Gravitational waves: ripples in spacetime","https://www.ligo.caltech.edu/page/what-are-gw ; https://www.esa.int/Science_Exploration/Space_Science/LISA/Gravitational_waves_ripples_in_spacetime",无需修改,"“tremendous amount of energy”是定性表述，未给出具体能量数值；来源支持其为强引力波来源。"
FCB_011,C04,"Gravitational waves are ripples in the fabric of space-time created by the acceleration of massive objects.",是,正确,"LIGO - What are Gravitational Waves?; NASA - Black Hole Basics","https://www.ligo.caltech.edu/page/what-are-gw ; https://science.nasa.gov/universe/black-holes/",无需修改,无
FCB_011,C05,"The waves produced by the merging of two supermassive black holes can be detected using highly sensitive instruments called gravitational wave detectors.",是,部分正确,"ESA - LISA factsheet; Caltech - Scientists Find Evidence for Slow-Rolling Sea of Gravitational Waves","https://www.esa.int/Science_Exploration/Space_Science/LISA/LISA_factsheet ; https://www.caltech.edu/about/news/scientists-find-evidence-for-slow-rolling-sea-of-gravitational-waves","这类引力波可由脉冲星计时阵列和未来空间探测器等高度灵敏手段研究；截至所引资料，单个超大质量黑洞并合的直接探测仍主要是未来目标。","“can be detected”若指未来能力或背景信号，基本成立；若指已直接探测到单个超大质量黑洞并合事件，则证据不足。"
FCB_011,C06,"The merging of two supermassive black holes can also produce a bright burst of light called a quasar.",是,错误,"ESA/Hubble - Quasar; NASA Imagine - Active Galaxies; ESA - Which cosmic objects will LISA study?","https://esahubble.org/wordbank/quasar/ ; https://imagine.gsfc.nasa.gov/science/objects/active_galaxies1.html ; https://www.esa.int/Science_Exploration/Space_Science/LISA/Which_cosmic_objects_will_LISA_study","如果周围有气体，超大质量黑洞并合可能伴随电磁辐射或触发活动星系核/类星体活动；但类星体不是一次“明亮爆发”，也不是黑洞并合本身的必然产物。","是否产生可见电磁对应体取决于气体环境、几何和吸积状态，不能作为普遍结果。"
FCB_011,C07,"Quasars are some of the brightest objects in the universe.",是,正确,"ESA/Hubble - Quasar",https://esahubble.org/wordbank/quasar/,无需修改,无
FCB_011,C08,"Quasars are thought to be powered by the accretion of matter onto a supermassive black hole.",是,正确,"NASA Imagine - Active Galaxies; ESA/Hubble - Quasar","https://imagine.gsfc.nasa.gov/science/objects/active_galaxies1.html ; https://esahubble.org/wordbank/quasar/",无需修改,无
FCB_011,C09,"The merger of two supermassive black holes is a rare event.",是,无法判断,"NANOGrav - Scientists use Exotic Stars to Tune into Hum from Cosmic Symphony; Caltech - Scientists Find Evidence for Slow-Rolling Sea of Gravitational Waves","https://nanograv.org/news/15yrRelease ; https://www.caltech.edu/about/news/scientists-find-evidence-for-slow-rolling-sea-of-gravitational-waves","超大质量黑洞并合的发生率取决于星系合并史和观测尺度，原文不应无边界地称其“罕见”。","缺少可核验的频率定义和时间/空间范围，无法给出正确或错误结论。"
FCB_011,C10,"It is likely to take place over a timescale of millions or billions of years.",是,部分正确,"Caltech - Scientists Find Evidence for Slow-Rolling Sea of Gravitational Waves; NANOGrav - Scientists use Exotic Stars to Tune into Hum from Cosmic Symphony","https://www.caltech.edu/about/news/scientists-find-evidence-for-slow-rolling-sea-of-gravitational-waves ; https://nanograv.org/news/15yrRelease","超大质量黑洞从星系合并后形成双星、逐渐靠近到最终合并可经历很长时间；对足够接近的双黑洞，离最终合并可能还有数百万年，不能笼统说整个“合并”都需百万或十亿年。","“合并”可指星系合并后双黑洞形成、旋近、最终并合等不同阶段；不同阶段时间尺度不同。"
FCB_011,C11,"Detection of gravitational waves from such a merger would be a major scientific discovery and could provide insight into black holes and the evolution of galaxies.",是,正确,"ESA - LISA factsheet; NANOGrav - Scientists use Exotic Stars to Tune into Hum from Cosmic Symphony","https://www.esa.int/Science_Exploration/Space_Science/LISA/LISA_factsheet ; https://nanograv.org/news/15yrRelease",无需修改,"若指单个超大质量黑洞并合事件的直接引力波探测，仍属未来或待确认目标；但“可提供洞见”的判断有充分来源支持。"
