测试,平台,质量或主质量分,主评分或综合得分,总耗时秒,效率分,记录积分,核心结论
测试一_智谱专题研究,ChatGPT Work,92.81,92.81,449.03,79.73,未记录,主测试质量最高且最均衡
测试一_智谱专题研究,TRAE Work,88.64,88.64,285.44,100.00,未记录,速度最快且来源引用表现好
测试一_智谱专题研究,WorkBuddy_HY3,83.68,83.68,893.74,56.51,未记录,研究完整性高但来源质量偏弱
测试一_WorkBuddy复测,WorkBuddy_Auto_MAX,91.25,91.25,459.48,未单列,170.98,质量明显提升但上下文接近上限
测试一_WorkBuddy复测,WorkBuddy_DeepSeek_V4_Flash_MAX,90.00,90.00,290.40,未单列,未记录,速度接近TRAE且上下文余量大
测试二_Factcheck_GPT,WorkBuddy,51.90,60.02,2228.65,8.12,323.74,综合略高但积分波动大
测试二_Factcheck_GPT,ChatGPT Work,49.55,59.55,1470.05,10.00,未记录,耗时最短且可核验性判断稳定
测试二_Factcheck_GPT,TRAE Work,49.55,57.50,2328.76,7.95,307.46,声明事实性和文档级核验较强
测试二_FACTS_Grounding,TRAE Work,85.88,95.88,963.89,10.00,105.85,主评分第一但长上下文证据编号需复核
测试二_FACTS_Grounding,WorkBuddy,85.03,93.34,1394.15,8.31,174.96,质量接近TRAE但积分更高
测试二_FACTS_Grounding,ChatGPT Work,80.75,90.43,1029.70,9.68,未记录,证据引用保守但复杂约束识别有短板
测试三_办公成果编辑,WorkBuddy,86.60,92.10,1473.19,5.50,314.69,综合交付最稳定
测试三_办公成果编辑,ChatGPT Work,58.60,65.05,1072.61,6.45,未记录,表格公式强但图表对象失败
测试三_办公成果编辑,TRAE Work,41.80,51.80,445.93,10.00,75.54,速度成本好但文件可用性风险高
