测试编号,编号,原子事实或待判断文本,是否应核验,判断,证据标题,证据链接,最小必要修正,不确定性说明
"FCB_011","C01","两个超大质量黑洞合并后会形成一个单一、更大的黑洞。","是","正确","NASA SVS | Gravitational Wave Simulations of Merging Black Holes; Gravitational Waves Eject a Black Hole from Its Central Home","https://svs.gsfc.nasa.gov/13197/; https://science.nasa.gov/asset/hubble/gravitational-waves-eject-a-black-hole-from-its-central-home/","无需修改","最终黑洞质量会小于两者质量简单相加，因为部分能量以引力波形式释放；原句只说 larger，未声称质量相加。"
"FCB_011","C02","黑洞合并过程称为“black hole merger”。","是","正确","Sources and Types of Gravitational Waves; NASA SVS | Gravitational Wave Simulations of Merging Black Holes","https://www.ligo.caltech.edu/page/gw-sources; https://svs.gsfc.nasa.gov/13197/","无需修改","术语层面无实质不确定性。"
"FCB_011","C03","合并期间会以引力波形式释放巨大能量。","是","正确","ESA Science & Technology - Science Objectives; What are Gravitational Waves? | LIGO Lab","https://sci.esa.int/web/lisa/-/61366-science-objectives; https://www.ligo.caltech.edu/WA/page/what-are-gw","无需修改","tremendous 是定性表述，但与权威来源一致。"
"FCB_011","C04","引力波是时空结构中的涟漪，由大质量物体加速运动产生。","是","正确","What are Gravitational Waves? | LIGO Lab | Caltech","https://www.ligo.caltech.edu/WA/page/what-are-gw","无需修改","无。"
"FCB_011","C05","两个超大质量黑洞并合产生的引力波可由高灵敏度引力波探测器探测。","是","部分正确","Evidence for a Gravitational-Wave Background | NANOGrav; ESA Science & Technology - Science Objectives","https://nanograv.org/15yr/Summary/Background; https://sci.esa.int/web/lisa/-/61366-science-objectives","两个超大质量黑洞并合产生的低频引力波需要适合该频段的探测方式，例如脉冲星计时阵列对背景信号的探测或未来空间引力波探测器 LISA 对大质量黑洞并合的探测。","截至检索日，NANOGrav 报告的是背景证据而非单个已确认的超大质量黑洞并合事件；LISA 属未来任务。"
"FCB_011","C06","两个超大质量黑洞合并也会产生一种称为类星体的明亮爆发。","是","部分正确","Imagine the Universe!; Hubble Quasars - NASA Science","https://imagine.gsfc.nasa.gov/ask_astro/galaxies.html; https://science.nasa.gov/mission/hubble/science/science-behind-the-discoveries/hubble-quasars/","如果周围有足够气体被吸积，超大质量黑洞并合可能伴随或触发类星体样的电磁活动；类星体不是并合本身的明亮爆发。","电磁对应体取决于气体环境、吸积状态和观测方向，并非所有并合都会产生可见类星体活动。"
"FCB_011","C07","类星体是宇宙中最明亮的天体之一。","是","正确","NASA’s Webb Will Use Quasars to Unlock the Secrets of the Early Universe; Hubble Quasars - NASA Science","https://science.nasa.gov/missions/webb/nasas-webb-will-use-quasars-to-unlock-the-secrets-of-the-early-universe/; https://science.nasa.gov/mission/hubble/science/science-behind-the-discoveries/hubble-quasars/","无需修改","some of the brightest 是定性表述，与来源一致。"
"FCB_011","C08","类星体被认为由物质吸积到超大质量黑洞上供能。","是","正确","Hubble Quasars - NASA Science; What Are Active Galactic Nuclei? - NASA Science","https://science.nasa.gov/mission/hubble/science/science-behind-the-discoveries/hubble-quasars/; https://science.nasa.gov/mission/webb/science-overview/science-explainers/what-are-active-galactic-nuclei/","无需修改","无。"
"FCB_011","C09","两个超大质量黑洞合并是罕见事件。","是","部分正确","Astronomers Find Two Giant Black Holes Spiraling Toward a Collision - NASA; Astrophysical Interpretation of a Gravitational-Wave Background from Massive Black Hole Binaries | NANOGrav","https://www.nasa.gov/centers-and-facilities/jpl/astronomers-find-two-giant-black-holes-spiraling-toward-a-collision/; https://nanograv.org/15yr/Summary/Interpret","两个超大质量黑洞合并的已确认近距候选系统很少，具体发生率仍有不确定性。","事件率和可观测性随红移、质量范围和探测方法变化，不能仅用“罕见”作精确定量结论。"
"FCB_011","C10","超大质量黑洞合并很可能发生在数百万年或数十亿年的时间尺度上。","是","部分正确","Sources and Types of Gravitational Waves; Imagine the Universe!; Discovery of a Close-separation Binary Quasar at the Heart of a z ∼ 0.2 Merging Galaxy","https://www.ligo.caltech.edu/page/gw-sources; https://imagine.gsfc.nasa.gov/ask_astro/galaxies.html; https://collaborate.princeton.edu/en/publications/discovery-of-a-close-separation-binary-quasar-at-the-heart-of-a-z/","从星系合并后两个中心黑洞形成双星、逐渐靠近到最终并合，整体演化可持续数百万年至数十亿年；最终强引力波并合阶段则短得多。","不同质量、间距、气体环境和恒星动力学会显著改变时间尺度。"
"FCB_011","C11","探测到这种并合的引力波会是重大科学发现，并可帮助理解黑洞性质和星系演化。","是","正确","ESA Science & Technology - Science Objectives; Astrophysical Interpretation of a Gravitational-Wave Background from Massive Black Hole Binaries | NANOGrav","https://sci.esa.int/web/lisa/-/61366-science-objectives; https://nanograv.org/15yr/Summary/Interpret","无需修改","截至检索日，已有纳赫兹引力波背景证据，但单个超大质量黑洞并合的明确引力波探测仍属未来或待确认目标。"
