Agent,事实编号,事实类别,事实陈述,原始来源名称,原始来源链接,核验判断,得分,核验说明,核验来源
ChatGPT Work,F04,发布时间,智谱中文官网称 GLM-130B 于 2022 年 9 月开源。,智谱官网发展历程,https://www.zhipuai.cn/zh/about,部分正确,0.5,中文官网列为 2022 年 9 月，但官方国际页面列为 2022-08-20；未充分解释两个时间口径。,https://arxiv.org/abs/2210.02414
ChatGPT Work,F08,发布时间,Z.ai company 页将 ChatGLM 发布日期列为 2023-03-15。,Z.ai company,https://z.ai/company,部分正确,0.5,官方公司页为 2023-03-15，技术报告常见口径为 2023-03-14；未提示日期冲突。,https://github.com/zai-org/ChatGLM-6B
ChatGPT Work,F29,发布时间,Z.ai company 页将 GLM-4 发布时间列为 2024-01-25。,Z.ai company,https://z.ai/company,部分正确,0.5,公司页列 2024-01-25，而公开发布活动常见口径为 2024-01-16；应将里程碑与发布日分开。,https://github.com/zai-org/GLM-4
ChatGPT Work,F45,发布时间,Z.ai 博客显示 GLM-4.7 发布于 2025-12-22。,Z.ai 博客,https://z.ai/blog/glm-4.7,正确,1,核验来源直接支持该陈述，模型版本和事实口径基本清楚。,https://z.ai/blog/glm-4.7
ChatGPT Work,F51,发布时间,Z.ai 博客显示 GLM-5.2 发布于 2026-06-16。,Z.ai 博客,https://z.ai/blog/glm-5.2,正确,1,核验来源直接支持该陈述，模型版本和事实口径基本清楚。,https://z.ai/blog/glm-5.2；https://huggingface.co/zai-org/GLM-5.2
ChatGPT Work,F06,参数口径,GLM-130B 是 130B 参数双语预训练模型。,HuggingFace papers,https://huggingface.co/papers/2210.02414,正确,1,核验来源直接支持该陈述，模型版本和事实口径基本清楚。,https://arxiv.org/abs/2210.02414
ChatGPT Work,F11,参数口径,ChatGLM-6B README 称该模型有 6.2B 参数。,GitHub README,https://github.com/zai-org/ChatGLM-6B/blob/main/README_en.md,正确,1,核验来源直接支持该陈述，模型版本和事实口径基本清楚。,https://github.com/zai-org/ChatGLM-6B
ChatGPT Work,F17,参数口径,VisualGLM-6B HF 模型卡称语言模型基于 ChatGLM-6B 6.2B，整体模型 7.8B。,HuggingFace 模型卡,https://huggingface.co/zai-org/visualglm-6b,正确,1,核验来源直接支持该陈述，模型版本和事实口径基本清楚。,https://github.com/zai-org/ChatGLM-6B
ChatGPT Work,F38,参数口径,GLM-4.5 为 355B 总参数、32B 激活参数；GLM-4.5-Air 为 106B 总参数、12B 激活参数。,Z.ai 文档,https://docs.z.ai/guides/llm/glm-4.5,正确,1,核验来源直接支持该陈述，模型版本和事实口径基本清楚。,https://docs.z.ai/guides/llm/glm-4.5
ChatGPT Work,F48,参数口径,GLM-5 文档称参数规模从 GLM-4.5 的 355B/32B 激活提升到 744B/40B 激活。,Z.ai 文档,https://docs.z.ai/guides/llm/glm-5,正确,1,核验来源直接支持该陈述，模型版本和事实口径基本清楚。,https://docs.z.ai/guides/llm/glm-5
