"平台","题号","题型","耗时秒","积分","题目得分","满分","质量达成率","报告字符数","独立链接数","CSV原子记录数","CSV异常记录数","输出完整"
"ChatGPT Work","FCB_001","句子可核验性","119.32",,"5","5","100","758","2","1","0","是"
"ChatGPT Work","FCB_002","句子可核验性","113.03",,"5","5","100","1014","2","1","0","是"
"ChatGPT Work","FCB_003","句子可核验性","137.62",,"5","5","100","435","0","1","0","是"
"ChatGPT Work","FCB_004","句子可核验性","44.14",,"5","5","100","565","0","1","0","是"
"ChatGPT Work","FCB_005","声明事实性","131.71",,"1.25","7.5","16.67","1275","3","1","0","是"
"ChatGPT Work","FCB_006","声明事实性","92.56",,"1.5","7.5","20","989","3","1","0","是"
"ChatGPT Work","FCB_007","声明事实性","94.83",,"7.25","7.5","96.67","1295","5","1","0","是"
"ChatGPT Work","FCB_008","声明事实性","85.7",,"1.5","7.5","20","947","3","1","0","是"
"ChatGPT Work","FCB_009","文档级核验","204.21",,"4.75","10","47.5","2858","5","6","0","是"
"ChatGPT Work","FCB_010","文档级核验","122.45",,"4.2","10","42","3566","4","6","0","是"
"ChatGPT Work","FCB_011","文档级核验","193.49",,"3.5","10","35","4949","13","11","0","是"
"ChatGPT Work","FCB_012","文档级核验","130.99",,"5.6","10","56","2410","5","4","0","是"
"WorkBuddy","FCB_001","句子可核验性","245.29","41.87","5","5","100","2001","1","1","0","是"
"WorkBuddy","FCB_002","句子可核验性","180.27","5.46","5","5","100","1446","2","1","0","是"
"WorkBuddy","FCB_003","句子可核验性","165.97","27.58","5","5","100","1155","1","1","0","是"
"WorkBuddy","FCB_004","句子可核验性","171.22","31.25","5","5","100","740","0","1","0","是"
"WorkBuddy","FCB_005","声明事实性","196.79","27.56","6","7.5","80","1226","1","1","0","是"
"WorkBuddy","FCB_006","声明事实性","144.09","31.46","0.5","7.5","6.67","1432","1","1","0","是"
"WorkBuddy","FCB_007","声明事实性","109.24","4.58","5.5","7.5","73.33","1308","2","1","0","是"
"WorkBuddy","FCB_008","声明事实性","208.79","45.74","1.5","7.5","20","1452","3","1","0","是"
"WorkBuddy","FCB_009","文档级核验","196.42","43.66","5.1","10","51","2501","3","6","2","是"
"WorkBuddy","FCB_010","文档级核验","140.95","4.47","3.6","10","36","3607","4","2","1","是"
"WorkBuddy","FCB_011","文档级核验","194.99","5.14","3.9","10","39","6378","11","12","0","是"
"WorkBuddy","FCB_012","文档级核验","274.63","54.97","5.8","10","58","4239","5","9","0","是"
"TRAE Work","FCB_001","句子可核验性","57.64","17.31","5","5","100","873","2","1","0","是"
"TRAE Work","FCB_002","句子可核验性","115.31","15.8","5","5","100","938","1","1","0","是"
"TRAE Work","FCB_003","句子可核验性","213.94","15.8","5","5","100","1074","1","1","0","是"
"TRAE Work","FCB_004","句子可核验性","244.86","19.06","0","5","0","1589","3","1","0","是"
"TRAE Work","FCB_005","声明事实性","171.47","18.54","6","7.5","80","1257","1","1","0","是"
"TRAE Work","FCB_006","声明事实性","137.95","26.07","1","7.5","13.33","932","1","1","0","是"
"TRAE Work","FCB_007","声明事实性","383.29","43.51","6.75","7.5","90","2000","3","1","0","是"
"TRAE Work","FCB_008","声明事实性","119.84","22.12","1.5","7.5","20","1278","3","1","0","是"
"TRAE Work","FCB_009","文档级核验","156.09","22.27","5.2","10","52","3073","7","7","0","是"
"TRAE Work","FCB_010","文档级核验","150.8","23.77","4.3","10","43","3822","7","9","0","是"
"TRAE Work","FCB_011","文档级核验","215.58","47.05","4.3","10","43","5712","9","11","0","是"
"TRAE Work","FCB_012","文档级核验","361.99","36.16","5.5","10","55","3571","2","9","0","是"
