平台,题号,题型,类别判断,证据质量,处理动作或覆盖,误报控制,判断准确性,最小修订,题目得分,扣分原因
ChatGPT Work,FCB_001,句子可核验性,5.00,,,,,,5.00,类别与金标准一致
ChatGPT Work,FCB_002,句子可核验性,5.00,,,,,,5.00,类别与金标准一致
ChatGPT Work,FCB_003,句子可核验性,5.00,,,,,,5.00,非陈述句类别一致
ChatGPT Work,FCB_004,句子可核验性,5.00,,,,,,5.00,重跑文件齐全且归为其他信息不足，与金标准一致
ChatGPT Work,FCB_005,声明事实性,0.00,1.25,0.00,,,,1.25,金标准为正确却判部分正确并改写
ChatGPT Work,FCB_006,声明事实性,0.00,1.50,0.00,,,,1.50,金标准为正确却判部分正确
ChatGPT Work,FCB_007,声明事实性,4.00,1.75,1.50,,,,7.25,重跑后结论与金标准一致；官方项目页、院校报道和履历构成交叉证据，但缺少官方完整获奖名单
ChatGPT Work,FCB_008,声明事实性,0.00,1.50,0.00,,,,1.50,金标准为证据不足却判正确
ChatGPT Work,FCB_009,文档级核验,1.50,0.00,1.75,1.50,0.00,4.75,漏判金标准未知断言且将一条真断言判无法判断
ChatGPT Work,FCB_010,文档级核验,1.25,0.20,0.75,0.50,1.50,4.20,按基准标签将多条真断言判错但证据较强
ChatGPT Work,FCB_011,文档级核验,1.50,0.00,1.00,1.00,0.00,3.50,漏判金标准错误与未知断言并对多条真断言过度保留
ChatGPT Work,FCB_012,文档级核验,1.50,0.60,1.50,1.00,1.00,5.60,识别部分气候概括风险但漏判两条金标准错误
WorkBuddy,FCB_001,句子可核验性,5.00,,,,,,5.00,类别与金标准一致
WorkBuddy,FCB_002,句子可核验性,5.00,,,,,,5.00,类别与金标准一致
WorkBuddy,FCB_003,句子可核验性,5.00,,,,,,5.00,非陈述句类别一致
WorkBuddy,FCB_004,句子可核验性,5.00,,,,,,5.00,其他信息不足类别一致
WorkBuddy,FCB_005,声明事实性,4.00,0.50,1.50,,,,6.00,结论正确但仅引用维基百科
WorkBuddy,FCB_006,声明事实性,0.00,0.50,0.00,,,,0.50,金标准为正确却判部分正确且来源较弱
WorkBuddy,FCB_007,声明事实性,4.00,0.50,1.00,,,,5.50,结论正确但一条链接无效且修订扩展过多
WorkBuddy,FCB_008,声明事实性,0.00,1.50,0.00,,,,1.50,金标准为证据不足却判正确
WorkBuddy,FCB_009,文档级核验,1.50,0.00,2.00,1.60,0.00,5.10,漏判金标准未知断言
WorkBuddy,FCB_010,文档级核验,0.90,0.20,0.50,0.50,1.50,3.60,多条判断偏离基准且CSV字段未规范转义
WorkBuddy,FCB_011,文档级核验,1.00,0.40,1.50,1.00,0.00,3.90,漏判金标准错误与未知断言且部分来源不可复核
WorkBuddy,FCB_012,文档级核验,1.10,0.50,2.00,1.20,1.00,5.80,仅识别一条金标准错误其余气候断言过度保留
TRAE Work,FCB_001,句子可核验性,5.00,,,,,,5.00,类别与金标准一致
TRAE Work,FCB_002,句子可核验性,5.00,,,,,,5.00,类别与金标准一致
TRAE Work,FCB_003,句子可核验性,5.00,,,,,,5.00,非陈述句类别一致
TRAE Work,FCB_004,句子可核验性,0.00,,,,,,0.00,将其他信息不足误判为可核验事实
TRAE Work,FCB_005,声明事实性,4.00,0.50,1.50,,,,6.00,结论正确但仅引用维基百科
TRAE Work,FCB_006,声明事实性,0.00,1.00,0.00,,,,1.00,金标准为正确却判无法判断
TRAE Work,FCB_007,声明事实性,4.00,1.75,1.00,,,,6.75,结论正确且个人主页和CV较强但修订扩展过多
TRAE Work,FCB_008,声明事实性,0.00,1.50,0.00,,,,1.50,金标准为证据不足却判部分正确
TRAE Work,FCB_009,文档级核验,1.50,0.00,2.00,1.70,0.00,5.20,漏判金标准未知断言
TRAE Work,FCB_010,文档级核验,1.50,0.30,0.50,0.50,1.50,4.30,按基准标签将多条真断言判错但来源较强
TRAE Work,FCB_011,文档级核验,1.50,0.40,1.30,1.10,0.00,4.30,漏判金标准错误与未知断言并对部分真断言过度修订
TRAE Work,FCB_012,文档级核验,0.90,0.50,1.80,1.30,1.00,5.50,识别一条金标准错误但多个州级概括判断偏宽
