平台,测试编号,上下文分层,评分维度,满分,得分,扣分,扣分原因,使用文件,复核备注
ChatGPT Work,FACTS_001,短上下文,材料内事实可靠性,3.33,3.33,0.00,结论方向、机制和实证证据均由 P03 支持。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_001,短上下文,回答完整性与任务覆盖,3.33,3.28,0.05,完整回答现金持有关系，未展开 D&I 间接条件但不影响主问题。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_001,短上下文,证据可追溯性,2.22,2.22,0.00,4 条证据均能准确回指 P03。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_001,短上下文,材料边界与表达控制,1.12,1.12,0.00,无材料外补充。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_002,短上下文,材料内事实可靠性,3.33,3.25,0.08,用途和风险均来自材料，个别概括较合并。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_002,短上下文,回答完整性与任务覆盖,3.33,3.05,0.28,覆盖教师用途和学生风险，但未说明材料主要是高等教育而非高中场景。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_002,短上下文,证据可追溯性,2.22,2.00,0.22,多数证据可追溯；少量引句使用省略号组合，不能逐字命中。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_002,短上下文,材料边界与表达控制,1.12,0.90,0.22,未标注高中教师场景与材料高等教育语境之间的边界。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_003,短上下文,材料内事实可靠性,3.33,3.25,0.08,内容基本准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_003,短上下文,回答完整性与任务覆盖,3.33,2.95,0.38,覆盖主要点和 code of conduct，但违反“不使用 AI”要求，且对公司名/准则全文缺失未说明。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_003,短上下文,证据可追溯性,2.22,2.00,0.22,证据覆盖较密，少数引句为片段化或非逐字。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_003,短上下文,材料边界与表达控制,1.12,0.65,0.47,多次使用用户禁用词 AI，且未标注材料没有具体公司名单或完整准则文本。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_004,中等上下文,材料内事实可靠性,3.33,1.20,2.13,把 John Rae 作为答案，忽视用户问题中的 American 限定。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_004,中等上下文,回答完整性与任务覆盖,3.33,1.50,1.83,回答了分配理论贡献者，但未正确回答美国相关人物。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_004,中等上下文,证据可追溯性,2.22,1.60,0.62,证据能支持 John Rae 的理论贡献，但不能支持其为题目所问 American。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_004,中等上下文,材料边界与表达控制,1.12,0.50,0.62,未说明材料没有直接给出 John Rae 国籍。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_005,中等上下文,材料内事实可靠性,3.33,3.33,0.00,三项国防专属领域均正确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_005,中等上下文,回答完整性与任务覆盖,3.33,3.33,0.00,完整描述 Directed Energy、Hypersonics、Integrated Sensing and Cyber。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_005,中等上下文,证据可追溯性,2.22,2.22,0.00,证据均准确回指 P01。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_005,中等上下文,材料边界与表达控制,1.12,1.12,0.00,无材料外补充。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_006,中等上下文,材料内事实可靠性,3.33,3.33,0.00,十条规则均准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_006,中等上下文,回答完整性与任务覆盖,3.33,3.00,0.33,完整列出十条规则，但没有展开每条规则的材料解释。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_006,中等上下文,证据可追溯性,2.22,2.22,0.00,证据定位准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_006,中等上下文,材料边界与表达控制,1.12,1.05,0.07,未说明第十条 UNHAPPY/ANGRY 的材料措辞差异。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_007,长上下文,材料内事实可靠性,3.33,3.25,0.08,合理使用因素和支持条件准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_007,长上下文,回答完整性与任务覆盖,3.33,2.85,0.48,覆盖转换性、非公开训练和四因素，但对不利因素、诉讼未决状态展开不足。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_007,长上下文,证据可追溯性,2.22,1.95,0.27,全部指向 P02，能定位到长段材料但精确性较弱；一条引句使用省略。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_007,长上下文,材料边界与表达控制,1.12,0.95,0.17,没有充分强调文章未给出确定结论。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_008,长上下文,材料内事实可靠性,3.33,3.33,0.00,pros/cons 均有材料支持。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_008,长上下文,回答完整性与任务覆盖,3.33,3.25,0.08,覆盖伦理空白、规范、权力分立、司法会议、回避和执行问题。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_008,长上下文,证据可追溯性,2.22,2.22,0.00,证据均回指 P01。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_008,长上下文,材料边界与表达控制,1.12,1.05,0.07,未显式说明利弊分类是基于材料归纳。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_009,长上下文,材料内事实可靠性,3.33,3.30,0.03,各动物相关摘要基本准确。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_009,长上下文,回答完整性与任务覆盖,3.33,3.00,0.33,覆盖主要动物，但对泛称 fish 和部分狼分类细节略简。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_009,长上下文,证据可追溯性,2.22,2.15,0.07,证据大多可复核，少量引句标点与原文不完全一致。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
ChatGPT Work,FACTS_009,长上下文,材料边界与表达控制,1.12,1.05,0.07,对狗、熊、猫等比喻性出现有说明，但材料边界总体较简。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
WorkBuddy,FACTS_001,短上下文,材料内事实可靠性,3.33,3.30,0.03,核心关系和机制正确；补充 D&I 条件仍在材料内。,任务说明.md；context_document.md；grounding回答.md；grounding证据映射.csv,
