测试编号,编号,关键结论,段落编号,英文原文引句,判断,材料边界说明
FACTS_009,G01,自然繁殖的鲑鱼因基因多样性更高被认为比孵化场鲑鱼更有活力,P01,"Naturally spawned fish are genetically diverse and therefore considered to be more vigorous than the genetically more similar hatchery fish.",已由材料支持,无
FACTS_009,G02,机构科学家区分孵化场鲑鱼和野生鲑鱼以最大化后者产量,P01,"agency scientists have distinguished between hatchery-raised and wild salmon to maximize production of the latter",已由材料支持,无
FACTS_009,G03,1993年interim policy认为孵化场鱼可与野生鱼属同一ESU,P01,"The interim policy concluded that hatchery fish could be in the same evolutionarily significant unit (ESU) as wild fish.",已由材料支持,无
FACTS_009,G04,联邦法院认为interim policy违反ESA因低于物种层级列入,P01,"a federal court found that the interim policy violated the ESA by listing below the species level",已由材料支持,无
FACTS_009,G05,法院认为同属ESU的孵化场和野生鲑鱼不应有不同列入状态,P01,"if hatchery and wild salmon were in the same ESU, they should not have different listing status",已由材料支持,无
FACTS_009,G06,2005年HLP要求将ESU整体状态考虑并整体列入,P01,"The HLP requires NMFS to consider the status of the ESU as a whole, rather than the status of only the wild fish within the ESU",已由材料支持,无
FACTS_009,G07,法院认为NMFS正确考虑了孵化场鱼和野生鱼具有不同灭绝风险,P01,"the court held that NMFS properly considered hatchery and wild fish as having different extinction risks in its listing decision",已由材料支持,无
FACTS_009,G08,钢头鱼从濒危降级为受威胁被裁定无效,P01,"NMFS's downlisting of steelhead from endangered to threatened by applying the HLP was ruled invalid",已由材料支持,无
FACTS_009,G09,法院认为HLP无效因其未基于最佳可用科学数据,P01,"The court found the HLP was invalid because it was not based on the best available scientific data",已由材料支持,无
FACTS_009,G10,法院认为HLP破坏了ESA保留自然自我维持种群的根本目的,P01,"The court found the HLP undermined a fundamental purpose of the ESA—to preserve natural, self-sustaining populations.",已由材料支持,无
FACTS_009,G11,第九巡回法院认为孵化场鱼不必然使野生鱼面临风险,P01,"The appellate court reversed the lower court's holding that downlisting the fish was invalid, finding that hatchery fish did not necessarily put wild fish at risk",已由材料支持,无
FACTS_009,G12,北海狮西部种群于1990年被列为ESA濒危物种,P01,"The western population of Steller sea lions was listed in 1990 as endangered under the ESA",已由材料支持,无
FACTS_009,G13,NMFS基于密集捕捞导致局部枯竭使北海狮挨饿的假设编写三份生物意见书,P01,"NMFS prepared three biological opinions that were based on the hypothesis that intense fishing for pollock, Pacific cod, and Atka mackerel off Alaska was causing localized depletion of these fish and therefore starving Steller sea lions",已由材料支持,无
FACTS_009,G14,商业渔民批评者认为NMFS基于未经科学验证的假设做危险判定,P01,"Critics among commercial fishermen argued that NMFS based its biological opinion on a scientifically untested hypothesis to make a jeopardy finding",已由材料支持,无
FACTS_009,G15,第四份生物意见书在喂养研究后采取不同方法,P01,"In a fourth biological opinion on authorization of these fisheries, NMFS took a different approach, after Steller sea lion feeding studies and population trends at some rookery sites raised questions about the localized depletion hypothesis",已由材料支持,无
FACTS_009,G16,2010年12月NMFS限制阿留申西部Atka mackerel和Pacific cod捕鱼以保护北海狮,P01,"In early December 2010, NMFS restrictions on commercial Atka mackerel and Pacific cod fishing in the western Aleutians to protect western Steller sea lions reignited this controversy",已由材料支持,无
FACTS_009,G17,法院命令NMFS为北海狮保护措施准备环境影响报告,P01,"a court ordered NMFS to prepare an environmental impact statement for Steller sea lion protection measures",已由材料支持,无
FACTS_009,G18,狭鳕鱼是在阿拉斯加近海被密集捕捞的鱼种假设其局部枯竭使北海狮挨饿,P01,"intense fishing for pollock, Pacific cod, and Atka mackerel off Alaska was causing localized depletion of these fish and therefore starving Steller sea lions",已由材料支持,无
FACTS_009,G19,太平洋鳕鱼同为密集捕捞鱼种且2010年NMFS限制其捕捞,P01,"NMFS restrictions on commercial Atka mackerel and Pacific cod fishing in the western Aleutians to protect western Steller sea lions",已由材料支持,无
FACTS_009,G20,阿特卡鲭鱼同为密集捕捞鱼种且2010年NMFS限制其捕捞,P01,"NMFS restrictions on commercial Atka mackerel and Pacific cod fishing in the western Aleutians to protect western Steller sea lions",已由材料支持,无
FACTS_009,G21,狼是适应性强的物种存在于北半球温带和极地多种生态系统,P01,"Wolves are an adaptable species, as shown by their behavior and by their presence in a tremendous variety of ecosystems",已由材料支持,无
FACTS_009,G22,分裂者认为北美有多达24个狼亚种欧亚有8个,P01,"some observers (splitters) have argued that there are as many as 24 subspecies in North America and 8 in Europe and Asia",已由材料支持,无
FACTS_009,G23,2011年5月FWS提议在灰狼和红狼之外承认第三种狼Canis lycaon,P01,"the U.S. Fish and Wildlife Service (FWS) proposed recognizing a third species of wolf (Canis lycaon), in addition to the gray and red wolf",已由材料支持,无
FACTS_009,G24,若Canis lupus被列入则所有亚种和DPS都受保护,P01,"if Canis lupus is listed, then all wolves (subspecies, and DPS) belonging to that species are all protected",已由材料支持,无
FACTS_009,G25,若某些狼不属于Canis lupus则失去ESA保护,P01,"if FWS concludes that there are animals commonly referred to as wolves, but which do not belong to Canis lupus at all, then those wolves would lose their ESA protections",已由材料支持,无
FACTS_009,G26,文档仅提及红狼作为狼的种类之一未提供更多信息,P01,"in addition to the gray and red wolf",已由材料支持,文档仅提及红狼作为狼的种类之一未提供关于红狼的更多具体信息
FACTS_009,G27,被考虑纳入Canis lycaon的狼主要生活在美东,P01,"The wolves being considered for this new species designation live (or lived) primarily in the eastern United States",已由材料支持,无
FACTS_009,G28,将美东狼指定为独立物种在科学上并不确定,P01,"the encyclopedic Mammal Species of the World discusses the validity of Canis lycaon as a distinct species and concludes that evidence for separation is equivocal",已由材料支持,无
FACTS_009,G29,ITIS目前将东部狼视为亚种Canis lupus lycaon,P01,"currently considers this wolf as a subspecies (Canis lupus lycaon)",已由材料支持,无
FACTS_009,G30,分类有效性辩论涉及与郊狼杂交的证据,P01,"evidence of hybridization with coyotes",已由材料支持,文档仅在东部狼分类辩论中提及郊狼作为杂交证据未提供关于郊狼本身的其他信息
FACTS_009,G31,分类地位变更将取消剩余东部狼的列入,P01,"A change in the taxonomic status would, in effect, de-list any remaining eastern wolves on the basis of that new status",已由材料支持,无
FACTS_009,G32,长臂猿作为ESA属级列入规则的示例被提及,P01,"if a taxon is listed (for example the genus Hylobates), then all of the species of gibbons which belong to that genus are all protected",已由材料支持,文档仅作为ESA列举规则示例提及长臂猿未提供其他信息
FACTS_009,G33,狗熊猫在描述合并者与分裂者的类比引言中被提及,P01,"if a carnivore is neither a dog nor a bear they call it a cat",已由材料支持,文档仅在类比引言中提及这三种动物未提供关于其本身的信息
